Serial_No,airline,overall,author,review_date,customer_review,aircraft,traveller_type,cabin,route,date_flown,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended,polarity scores,Sentiment Score, Rating,Sentiment Values
11522,Cathay Pacific Airways,3,Dennis Griffin,18th January 2019,"Tired planes, food not great - gluten free food was disgusting. Travelled with my wife from Auckland to London return, so 4 business class flights in total for each of us. The Boeing 777 planes were old, tired and uncomfortable, however on the last leg we had an A350 which was much better. Inflight entertainment was poor, the amount of recent films was quite limited. Staff were friendly and efficient. Food for me was not bad, however on one leg the prawns were still frozen. For my wife who is gluten free the food was very limited and quite disgusting. Gluten free gets no choice of food even in business class. One meal was boiled fish, which was overcooked and had no seasoning, often starters were just plain salads and dessert was just ice cream. The worst one was a breakfast which was baked beans, tomatoe and spinach. It seems like gluten free is considered an afterthought on this airline. Even the staff agreed that it was not very good, and that they get many many complaints from gluten free passengers. T...","Boeing 777, A350",Couple Leisure,Business Class,Auckland to London via Hong Kong,1/19/2019,2,4,2,2,3,3,no,-0.9897,Negative,16,-1
11523,Cathay Pacific Airways,10,H Lang,16th January 2019,"Bangkok to Hong Kong. I'm pleased to be served by staff who tried to serve passengers as best as they can. The seat is spectacular, the meal was very well presented, and I also had one of the signature drinks, Cloud Nine. It was the first time having to try that, and it was fantastic. The cabin crew were really nice and professional. For the inflight entertainment they have a great variety of movies, TV shows, music playlists and so on. However, one suggestion was that it would be better to make a facelift on the products as it seems a little bit old. It would also be better to have inflight Wi-Fi service and the camera view on all the A330 fleets.",A330-300,Family Leisure,Business Class,Bangkok to Hong Kong,1/19/2019,5,5,5,5,5,5,yes,0.9816,Positive,30,1
11524,Cathay Pacific Airways,2,S Chantok,6th January 2019,"Bangalore to San Francisco via Hong Kong. The crew on Cathay Pacific/Cathay Dragon on Jan 4, 2019 was extremely rude. I have travelled Cathay before, and had issues on the food they serve, but never with the crew onboard. This is the first time, and I was very surprised with their behavior. On the flight from BLR to HKG, the air-hostess asked me my meal preference, and when I asked what they served ( a menu card was not provided), she simply moved on to the next passenger. I had to ask her again, and she sighed and showed me something scribbled on a piece of paper. On the flight from HKG to SFO, I had a bad cough and needed hot water, and the seat belt sign was on, so could not walk up to them. When I pressed on the crew button, they would turn it off and not respond. I had to press the button couple more times before someone came by. Finally a air-hostess showed up with her hands folded and a stern look, and before asking me what I needed, instructed me to turn off the light. I did and asked her politely ...",Boeing 777-300ER,Family Leisure,Economy Class,Bangalore to San Francisco via Hong Kong,1/19/2019,1,1,1,1,1,1,no,-0.4295,Negative,6,-1
11525,Cathay Pacific Airways,3,D Maulana,4th January 2019,"Had a return flight from Jakarta to Hong Kong for New Year getaway on CX 770 and return with CX 797. I feel that this airline need improvement on their FA services to passenger in terms of hospitality on serving the customer. They are lack of smiles and work like robot. Beside that I notice the cabin services for the same routes are not standardize. On CX770 CGK-HKG they only serves breakfast, while on CX797 HKG-CGK they serve dinner, distribute peanuts and Haagen Daz Ice Cream etc. The A330 seat is not comfortable, however the A350 is excellent. Another disappointment is the check in process, I cant do my online check in for CX797 that result I have separate seats with my kids, We are traveling with 4 person and each if us seats on different row. The ground staff only says apologize due to system error etc, without solving my problem. It seems that there level of service is not as good as before and for sure Cathay needs improvements.",A330 / A350,Family Leisure,Economy Class,Jakarta to Hong Kong,1/19/2019,3,2,2,4,2,4,no,0.6266,Positive,17,1
11526,Cathay Pacific Airways,10,Michael Schade,24th December 2018,"I was lucky getting upgraded on both legs of the journey. ItÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s great to be a Oneworld Platinum member. Flight was on the gorgeous new A350-1000 with the reverse herringbone configuration. Seat is on par with Qatar, but better designed and more comfortable than Singapore Airlines new business class seat. Service was impeccable with decent food and drinks. Return flight was delayed by 3h due to a faulty external power supply unit BKK airport. Delay was handled in an organized manner without causing stress to pax. Overall a great package.",A350-1000,Solo Leisure,Business Class,Singapore to Bangkok,12/18/2019,5,5,4,5,5,4,yes,0.9523,Positive,28,1
11527,Cathay Pacific Airways,7,S Klass,14th December 2018,"Newark to Singapore via Hong Kong. I fly CX every year on this trek back to Singapore from NJ and its very consistent. Boarding at Newark delayed by an hour due to a baggage issue but we did land right on time in HKG. The cabin crew were upbeat, warm and welcoming. They were pleasant, smiling and working efficiently throughout the flight. The meal service seemed slow but maybe had more to do with not having enough crew onboard to work such a large economy cabin. The meals onboard were the biggest disappointment. Portions seemed even smaller than before and the quality of both meals was certainly not up to par. Rice was dry and clumpy and the beef with it, overdone and lacked enough sauce. No salt and pepper sachets either. There is virtually no difference between the meals served on the long haul to the shorter medium haul sector to Singapore. The saving grace was the midflight snack bar that I stumbled on when I ventured to the back and to the opposite aisle. Good selection and better quality than the mea...",A350-900,Solo Leisure,Economy Class,Newark to Singapore via Hong Kong,12/18/2019,4,5,2,3,4,4,yes,0.9965,Positive,22,1
11528,Cathay Pacific Airways,3,J Marham,29th November 2018,"Rome to Melbourne via Hong Kong. Seats are comfortable except for the usual complaints of backs being thin and passengers disturbing you with each move. But I found the service terrible, it surprised me, as I have flown with Cathay a few times. On my first leg, Rome - HK, drinks and food took over an hour before serving, no pre meal drinks service and then my meal was luke warm, in fact one side of it was cold?. Anyway it was uneatable. All very rushed with no extra offer of wine or even coffee. Breakfast terrible , HK - Melbourne, the same but this time nothing served till nearly 2 hours into the flight which left at 00,15, I as well as other passengers had to ask for some water. Then food again rushed, sort of very un professional , mine this time was so hot, I had to wait for it to cool a little. Drinks trolley came at least 10 mins after the meal service. and no extra drinks or coffee. Breakfast again , not good. It seemed the staff were in training or, or. Not sure if I would consider Cathay again. I ...",A350-900,Solo Leisure,Economy Class,Rome to Melbourne via Hong Kong,11/18/2019,3,1,1,5,4,1,no,0.3268,Neutral,15,0
11529,Cathay Pacific Airways,7,H Becker,29th November 2018,"Hong Kong to Shanghai. On time departure, lovely crew and overall good service onboard and on the ground. Lovely lounge in Hong Kong and in general good value for money. I would not hesitate flying with them again.",Boeing 777,Solo Leisure,Business Class,Hong Kong to Shanghai,11/18/2019,4,4,4,4,4,5,yes,0.9486,Positive,25,1
11530,Cathay Pacific Airways,9,Alwaleed Althani,18th November 2018,"Washington to Hong Kong. An excellent flight, we boarded the flight late at night and took off ten minutes later than schedule but with nice tail winds we arrived an hour early. The seats where superb designed by Porsche to give maximum comfort, the entertainment system was amazing with a great mixture of box office hits and some classics, the food was good, I loved the leek soup and unfortunately I could not get the continental breakfast but no one can deliver perfection. The WiFi was very good provided by Panasonic and was quite reliable.",A350-900,Family Leisure,Business Class,Washington to Hong Kong,11/18/2019,5,5,3,5,5,5,yes,0.9931,Positive,28,1
11531,Cathay Pacific Airways,9,C Sun,18th November 2018,"Nagoya to Taipei. Check in process was quite slow due to a very full loadings. We could access the Japan Airlines lounge in Nagoya Airport, but the lounge was relatively small and lacking food choices compare to other international hubs. However, the inflight service was excellent. I was surprised they offered 3 different food choices in a 2 hours flight. Drinks menu was attractive as well. The seats was not fully reclineable but it was still good for a regional flight.",A330-300,Solo Leisure,Business Class,Nagoya to Taipei,11/18/2019,4,5,5,5,3,5,yes,0.9568,Positive,27,1
11532,Cathay Pacific Airways,8,Gyan Fernando,12th November 2018,"On my way back from Fiji via Auckland, I flew Cathay Pacific non-stop from HKG to LHR, a flight of nearly 13 hours! A few weeks ago I had flown the route in reverse. The aircraft was a Boeing 777-300ER with a seat configuration of 3+3+3. The leg room was good but not too good for a long flight like this. In-flight entertainment was so good that I did not get bored or restless. The flight was smooth and comfortable and there was no queue for the toilets. Cabin service was good with good food and drinks but sitting in the very last row of seats (72E) I could not help noticing that the staff were chatting away most of the time. That gets a low rating from me.",Boeing 777-300ER,Solo Leisure,Economy Class,Hong Kong to London Heathrow,10/18/2019,3,2,4,5,4,3,yes,0.9693,Positive,21,1
11533,Cathay Pacific Airways,10,Ellis Tolfvenstam,10th November 2018,"Hong Kong to Singapore. The Pier First Class Lounge in Hong Kong was beautiful and food was excellent. The showers were clean and well stocked with amenities. On the aircraft the staff were exceptionally friendly, and took care of you. The aircraft was new and felt nearly unused. The seat was beautifully decorated and the finish was a massive step up from their product on the A330 and 777. The seat was massive and the amount of personal space and privacy was unrivaled by other business classes IÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢ve flown. The seat was very comfortable, and I slept very well on this early morning flight. The inflight entertainment system was new and responsive, and selection of movies and TV shows was incredible. The food was excellent but was not spectacular- as a short morning flight the selection of food and drink was not massive. The flight arrived a few minutes late and because of this, I missed my connecting flight with EVA Air to Seoul, via Taipei. However, the staff took care of this, ...",A350-900,Family Leisure,Business Class,Hong Kong to Singapore,11/18/2019,5,5,4,5,5,5,yes,0.9915,Positive,29,1
11534,Cathay Pacific Airways,10,Gyan Fernando,7th November 2018,London to Hong Kong. Great airline to fly. It was a long time since I flew the and the service was still good. This is a long flight and comfort was essential as was the boredom. The seat pitch was adequate for my 6ft height but could do better. The seating was 3x3x3 but felt slightly cramped for a long flight. In-flight entertainment was very good and stopped me from becoming restless. The hostesses were charming and the food and drink services were good.,Boeing 777-300ER,Solo Leisure,Economy Class,London to Hong Kong,9/18/2019,4,5,5,5,5,5,yes,0.9687,Positive,29,1
11535,Cathay Pacific Airways,10,Riccardo Micci,4th November 2018,"Superb service on both flights. They seemed happy to serve and did not have the fake smile. Food good as far as airline food goes. Snacks served during flight from JNB-HKG. Was dreading the 10 abreast seating on B777 and even though the seat is a little narrower, I found the seat cushion comfortable. Head rest also good. The toilets were clean. Overall a very good experience. The HKG-BKK flight was also excellent. Friendly and engaging crew. Good breakfast served. No complaints. Highly recommended.",Boeing 777 and A350-900,Solo Leisure,Economy Class,Johannesburg to Bangkok via Hong Kong,10/18/2019,4,5,4,4,5,5,yes,0.9856,Positive,27,1
11536,Cathay Pacific Airways,3,Ronald van Schelven,3rd November 2018,"Hong Kong to Amsterdam. We had bought tickets months in advance and booked seats for our trip Amsterdam-Phuket. Just before departure however, the allocated seats for the return journey on October 21, 2018 for Hong Kong-Amsterdam were changed from row 18 to row 20, directly behind the pantry, next to a toilet and frequently used cabinets, particularly bad places for a night flight! The proximity of the pantry was no guarantee for a good service, on the contrary. On departure there was a delay of 20 minutes. We had a clear view in the pantry and saw that passengers in the ""front"" part of the business class were offered a second preflight drink. Not for the part where we were, we were ignored by the cabin crew. When serving the meal, I was probably the last passenger in the plane to get my pork with cold noodles. For the sake of clarity, because we flew several times with Cathay Pacific, I became a member of the Marco Polo club, silver member now. This loyalty is apparently one-sided because at home I filed ...",Boeing 777-300,Couple Leisure,Business Class,Hong Kong to Amsterdam,10/18/2019,3,1,1,3,3,2,no,-0.6886,Negative,13,-1
11537,Cathay Pacific Airways,10,D Guan,2nd November 2018,"Manchester to Hong Kong. The best airline, I have been flying with them for last pass four year and the service on board are just great. Lounges are great and staff are pleasing. On board the business class seat are great - 1x2x1 is the best layout.",Boeing 777-300ER,Business,Business Class,Manchester to Hong Kong,6/18/2019,5,5,5,5,5,5,yes,0.9779,Positive,30,1
11538,Cathay Pacific Airways,7,A Wong,31st October 2018,"Despite Cathay Pacific being more expensive than Air Canada (on average), I opted for Cathay Pacific on the grounds that they had the midnight flight to Vancouver - this ultimately means that I am able to maximize the amount of time that I have at my destination. Historically, I wouldÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢ve told you that Cathay Pacific provides a superior service, but nowadays, itÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s roughly the same as itÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s competitors. They have more attentive flight attendants and better IFE choices, but thatÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s about it. The food is okay, but I feel that Air Canada has better food, and despite having wider seats than the former, I still find that Air Canada seats and the cabin as a whole feel more comfy (maybe itÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s all the mood lighting). CX888 still operates the 777-300ER exclusively, and while I love 777s, Cathay decided against installing wifi on them. I do applaud CathayÃÂ¢Ã¢Â...",Boeing 777-300ER,Solo Leisure,Economy Class,Hong Kong to Vancouver,3/18/2019,4,5,4,5,5,2,yes,0.9644,Positive,25,1
11539,Cathay Pacific Airways,8,L Pearce,30th October 2018,"Hong Kong to Osaka. The journey started off with a visit to ""The Wing"" one of Cathay's First Class Lounges for breakfast and relaxation. The flight was an 8am departure, but Check-In was not opened until 5.30am even though there were earlier flights departing with hardly any Cathy personnel around to assist. Being a One World Emerald member it does make the Airport experience much smoother. It's great to see priority boarding enforced and an on time departure to my next holiday destination. The Cabin Crew were outstanding, very hospitable and welcoming. I was even greeted personally by the Supervisor and Cabin Manager thanking me for flying with One World. Since it was Breakfast, the meal was average but did taste very good. Lastly, my absolute favourite part was the new plane model, and from seat comfort to IFE, everything was new and Fresh.",A350-900,Couple Leisure,Economy Class,Hong Kong to Osaka,10/18/2019,4,4,3,4,3,4,yes,0.9885,Positive,22,1
11540,Cathay Pacific Airways,10,Alwaleed Althani,28th October 2018,"Hong Kong to Washington. One of the best flight experiences, wonderful herringbone seats and amazing entertainment system with excellent choices of movies, TV and live TV. An amazing array of choices for dinner - I choose the Wok Fried Halibut which was wonderful. The flight was at night with late night arrival at IAD .",A350-900,Family Leisure,Business Class,Hong Kong to Washington,10/18/2019,5,5,5,5,5,5,yes,0.9792,Positive,30,1
11541,Cathay Pacific Airways,9,R Sanyal,24th October 2018,"New York to Hong Kong, a very relaxing flight. Check in was a breeze though boarding was a crowded affair at a gate where space was cramped. Flight attendants were efficient, courteous, and warm. The angled lie flat herring boned patterned 1-2-1 seating offered ample space, comfort and privacy - I had a window seat. A huge collection of films. A fine collection of wines and spirits, food menu mostly with a Chinese flavor. At the galley a spread of snacks. Hot towels were distributed several times during the flight and toilets were kept tidy. The amenities kit was basic and have not changed in years.",Boeing 777-300,Solo Leisure,Business Class,New York to Hong Kong,10/18/2019,5,5,5,5,4,4,yes,0.9441,Positive,28,1
11542,Cathay Pacific Airways,8,Tshung Ching Tay,18th October 2018,"Beijing to Hong Kong. A330-300 flight was near full. Cabin crew at aircraft door welcome passengers. This aircraft is fitted with the new IFE which offer wide selection of movies and music. Breakfast was served, the quality is slightly better than some other airlines in China, but plenty room of improvement. They have seemingly has reduced the portion on the meal tray. In flight service was efficient.",A330-300,Solo Leisure,Economy Class,Beijing to Hong Kong,1/18/2019,4,4,4,5,4,4,yes,0.8886,Positive,25,1
11543,Cathay Pacific Airways,8,Tshung Ching Tay,17th October 2018,Seoul Incheon to Hong Kong in November 2017. Seoul Airport check in is convenient. A330-300 was deployed for this route. The flight announcement was made in English and Korean. This aircraft comes with the newer generation of CX studio. In flight entertainment with a wide selection of movies and songs are available and the 3D flight map. Breakfast was served followed by hot beverages. The standard of the in flight catering is slightly better in view of the catering was uploaded from Seoul. The flight was enjoyable. A big applause to the dedicated cabin crew.,A330-300,Solo Leisure,Economy Class,Seoul Incheon to Hong Kong,11/17/2019,4,4,4,5,5,4,yes,0.9202,Positive,26,1
11544,Cathay Pacific Airways,3,V Huang,17th October 2018,"Hong Kong to Ho Chi Minh City. 3-4-3 seat layout in economy class is too much, the seats are ridiculous tight. I must say the food is below the industry average. I will try to avoid this airline, even though I have flown Cathay for few years",Boeing 777-300ER,Business,Economy Class,Hong Kong to Ho Chi Minh City,10/18/2019,1,2,1,4,3,1,no,-0.5719,Negative,12,-1
11545,Cathay Pacific Airways,9,Tshung Ching Tay,17th October 2018,"Hong Kong to Shanghai Pudong in October 2017. Having arrived from Kota Kinabalu on Cathay Dragon, I was informed my flight KA896 to Shanghai Pudong had been cancelled. A new flight had been arranged for me flying on board Cathay Pacific instead. A330-300 is fitted with the older hard shell seat and IFE. The quality of the In flight catering above average. Hot meal is a served and complemented with Haagen Dazs ice cream. As the load for this flight was light, the cabin service was fast. I spent remaining of the flight time watching movie and listening to music.",A330-300,Solo Leisure,Economy Class,Hong Kong to Shanghai Pudong,10/17/2019,3,4,4,4,5,4,yes,-0.34,Negative,24,-1
11546,Cathay Pacific Airways,8,Tshung Ching Tay,17th October 2018,"Hong Kong to Seoul Incheon in 2017. The ground staff allowed me to check in despite that it was 5.5 hours before departure. A330-300 was quite full but it did not hamper the cabin crew effort to maintain high level of service. Peanuts and cold beverages were served. Meal was served approximately 30 minutes after take off followed by hot beverages. This aircraft is fitted with the newer version CX studio. There are wide selection of entertainment, movies and music on board. The 3D flight map is also available. As it is a flight bound for Seoul, Korea, the airline assigned Korean speaking crew. Overall in flight service is above average, though a little more attention can be focus on the in flight catering,",A330-300,Solo Leisure,Economy Class,Hong Kong to Seoul Incheon,12/17/2019,5,4,4,5,4,4,yes,0.5719,Positive,26,1
11547,Cathay Pacific Airways,8,Tshung Ching Tay,17th October 2018,"Taipei to Hong Kong. At the time of booking was originally operated by the A350-900. I was shocked of the last minute change, it was replaced by A330-300 instead. Boarding was in a systematic row by row order, priority given to passengers with special needs. Simple hot meal is available on this short sector flight. The quality of the meal is below average. Nonetheless, I am very impressed with the responsiveness of the cabin crew, the service was quick, thus allow us time to have sufficient to rest. Overall flight journey is average. I hope the management look into the new way to improve the in flight catering.",A330-300,Solo Leisure,Economy Class,Taipei to Hong Kong,3/18/2019,4,4,3,5,5,4,yes,0.8883,Positive,25,1
11548,Cathay Pacific Airways,7,Tshung Ching Tay,17th October 2018,"Taipei to Hong Kong in March 2018. I was originally booked on CX468 which departed 21:55 but due to the late arrival of Cathay Dragon incoming flight and subsequently delay in KA749 in departure, the airline re arrange this last flight to Taipei for me. Being a Marco Polo green member, I took advantage of the fast track lane to board. Anold B777-300 with hard shell seating for this flight. Flight crew are not as friendly as other flight I had flown with CX. I was surprise when I took a photo of the cabin, the flight purser approached me that photo is not allowed in the cabin. Hot meal is not available on this flight. The cabin crew were seen rushing with the distribution of paper pack which contains savoury pastry, cookies and a pack of ice lemon tea. Very little interaction in between the flight attendant and passengers. Cathay Pacific's product seemingly lack of consistency recently.",Boeing 777-300,Solo Leisure,Economy Class,Taipei to Hong Kong,3/18/2019,3,3,3,3,5,4,yes,-0.6996,Negative,21,-1
11549,Cathay Pacific Airways,10,G Jones,9th October 2018,"Manila to Hong Kong. Quick short visit to Hong Kong. Flying with Cathay Pacific's brand new Airbus A350-900 on this route (CX918). Checkin in at Manila Internation Airport Terminal 3 was quick and efficient. Out of all airlines flying to and from Manila, Cathay Pacific has the most efficient ground service and handling despite its multiple flights in and out of Manila. Cathay Pacific has recently opened their brand new lounge at the new-ish terminal a few years ago. It had every component that the lounge offers at their Hong Kong lounges minus the showers. Food selection was great as was drinks. Boarding was quick and efficient, doors were closed on time and left the gate on time. Upon boarding, the first thing I noticed was the brand new plane smell and the flight attendant's warmth and friendliness. The seats were brand new, cabin was very clean and very spacious. As soon as I sat down on my seat, I immediately noticed how wide the seats were and how generous the leg room was. The IFE was also their new ...",A350-900,Solo Leisure,Economy Class,Manila to Hong Kong,11/17/2019,5,5,5,5,5,5,yes,0.988,Positive,30,1
11550,Cathay Pacific Airways,10,S Martin,7th October 2018,"Flew NYC/JFK to Hong Kong and onward to Kuala Lumpur. Traveling with Cathay is the way flying should always be, especially for a 15-hour flight. The food was excellent, offering Western and Asian choices, with ice cream for dessert, and snacks/drinks, including beer/wine/gin/whisky, were readily available throughout the flights. There were tons of movies and music cds to choose from, a decent amount of legroom, and friendly and courteous staff actually providing service with a smile. Wish flying were always like this.",Boeing 777 / A330,Solo Leisure,Economy Class,New York JFK to Hong Kong via Kuala Lumpur,10/18/2019,5,5,5,5,5,5,yes,0.9509,Positive,30,1
11551,Cathay Pacific Airways,8,J Durler,25th September 2018,"Hong Kong to Surabaya. Good seat, nice staff, very nice talking captain. The only problem was the food. I asked for the fish and (to say it nice) it was different, from what I'm used. But still I would fly CX again.",A 330-300,Couple Leisure,Business Class,Hong Kong to Surabaya,9/18/2019,4,5,1,4,4,3,yes,0.7003,Positive,21,1
11552,Cathay Pacific Airways,9,Kim Johansen,16th September 2018,"This is the first time I have flown Cathay business class in many years. I have flown business class many times from Asia to the US on other carriers, but I had some One World miles soon expiring, so I decided to try Cathay. I was not disappointed. They have a very good time schedule from Bangkok to New York. As I arrived at the airport in Bangkok, I was notified my flight was going to be 1.5 hours late. This would make a tight connection in Hong Kong (less than an hour). I requested a change to an earlier flight which they happily accommodated - very good service! The staff on both flights were great, friendly, well trained, personalized service. The food was very good. IFE had a wide selection with good quality noise cancelling headphones. Both flights were on 777's. The regional flight BKK/HKG was the old model business class 2x2x2 with angled seats - comfortable enough for a 2.5 hr flight. The second leg, HKG/JFK (almost 16 hours) was on the new 777 long range version of business class 1x2x1. All indiv...",Boeing 777 Long Range,Solo Leisure,Business Class,Bangkok to New York JFK via Hong Kong,9/18/2019,5,5,4,4,5,4,yes,0.9974,Positive,27,1
11553,Cathay Pacific Airways,8,C Han,14th September 2018,"Zurich to Hong Kong. The flight departed punctually. Ground service was professionally done. The aircraft was a 777-300 which was a bit older than the other long haul fleet and I was not really a fan of this aircraft. The seats are okay but not that comfortable. Headrest support was not strong enough. However, the service and food were above standards, even in economy class. Ice cream was served as dessert and fresh fruit and cup noodles were also available between meals. Crew were friendly and hardworking. The flight arrived earlier than schedule. Would fly them again even the price was slightly higher than other airlines.",B777-300ER,Couple Leisure,Economy Class,Zurich to Hong Kong,9/18/2019,3,5,5,3,5,4,yes,0.5506,Positive,25,1
11554,Cathay Pacific Airways,9,Doug Dumpa,13th September 2018,"Manila to Nagoya via Hong Kong. Haven flown with this airline for more than three years. They still offer exceptional service, the cabin is now more spacious with the new aircraft, including its seat legroom. The movies though are quite limited with more dramas which is quite boring.",Boeing 777-300 / 777-200,Business,Economy Class,Manila to Nagoya via Hong Kong,9/18/2019,5,5,3,2,4,4,yes,-0.584,Negative,23,-1
11555,Cathay Pacific Airways,7,C Han,4th September 2018,"New York to Hong Kong. Boarding for economy was rather confusing. While the announcer stated that those with seats in rows 59-72 could board, another agent instructed me and others who had seats in these rows to join a queue that did not move. (Then why did the first agent instruct us to board?) Onboard service was very good, but the meals served fell a little short of the standard one would expect from Cathay. The chicken with mashed potatoes was edible, but uninspiring, while the beef congee was too watered down. Neither meal came with condiments such as salt and pepper. Was that due to cutbacks? I've flown Cathay many times now, but this flight was not its best.",Boeing 777,Solo Leisure,Economy Class,New York to Hong Kong,9/18/2019,3,5,3,4,3,4,yes,-0.5669,Negative,22,-1
11556,Cathay Pacific Airways,8,Geoff Herbert,30th August 2018,"Gatwick to Melbourne via Hong Kong. Pleased with Gatwick on lunchtime departure. Just check for South Terminal at F Gate, Nice casual boarding [unlike the demeaning line up and wait at Hong Kong]. Cabin staff always welcoming and helpful. Every seat taken - seems a Cathay method. Typically a polite crowd to travel with, majority Chinese, a few Australians and British. I had a low calorie meal on order, so got served maybe 30 minutes ahead of others and by personal delivery. Out of Gatwick the main was delicious fish - very good even if no choice and no menu. Captain message as usual on this airline was English name and well spoken. I rate this airline for having British pilots - gives me confidence in basic skills and also the ability to communicate clearly in the event of difficulties. I told myself the A350 has been in service on this route for over a year, and is used intensively, flying into Gatwick after 11 hours from HK and ready to return at lunchtime. The Cathay themed seats in aqua green are start...",A350 / Boeing 777ER,Family Leisure,Economy Class,Gatwick to Melbourne via Hong Kong,8/18/2019,4,5,3,4,3,4,yes,0.9934,Positive,23,1
11557,Cathay Pacific Airways,9,Punyawee Werasopon,17th August 2018,"Bangkok to Vancouver via Hong Kong. On-board experience was very good. The new economy seat was well designed. I love the individual storage of the new eco seat. The small hard pocket under the display for smartphone and power bank. There also an electric socket for plug-in the laptop for fast charging via wall charge adapter. Entertainment system was good. It was not excellent but enough. Foods were good for both of dinner and breakfast. Crews were helpful and nice. Alert and ready for service all the time. Cathay's crews are energetic and helpful. Transit via Hong Kong airport is the perfect choice, easy, smooth and convenient.",Boeing 777-300ER,Solo Leisure,Economy Class,Bangkok to Vancouver via Hong Kong,7/18/2019,4,5,4,4,5,4,yes,0.9913,Positive,26,1
11558,Cathay Pacific Airways,9,David Kimbell,10th August 2018,"Sydney to Hong Kong. Very enjoyable experience flying with Cathay Pacific, I fly often with other airlines and can say that Cathay economy is superior to many other airlines flying this route. There is surprisingly plenty of legroom in economy class and seats are quite decent and comfortable with USB charging and places to put your things. The check-in process in Sydney was fast and staff were friendly, although the booking class I booked did not entitle me to pre-book seats at time of purchasing flights, I was able to choose seats a couple of days before when on-line check in opened. On board staff were also friendly and efficient, food served was tasty and there were a few options to choose from and staff went through the aisles often enough to provide drinks when needed. The only downside (if any) was a slightly limited offering of movies and TV shows on the inflight entertainment. This was the first leg of four with Cathay Pacific and looking forward to flying with them again.",Boeing 777-300,Couple Leisure,Economy Class,Sydney to Hong Kong,8/18/2019,5,5,5,4,5,5,yes,0.9676,Positive,29,1
11559,Cathay Pacific Airways,9,H Chan,10th August 2018,"Sydney to Hong Kong. I spent just 20% more for premium economy compare to a basic economy ticket. Compare to economy the airline offered better seats, food and service. There was a dedicated check in counter for premium passengers. Seats can recline more and the meal was more better than the economy product. Also, a small amenity kit was also available. However, I don like the lighting in the 777 which makes the cabin look a bit worn out.",Boeing 777-300ER,Couple Leisure,Premium Economy,Sydney to Hong Kong,8/18/2019,5,4,5,4,5,5,yes,0.8442,Positive,28,1
11560,Cathay Pacific Airways,10,Z Robins,9th August 2018,"Comfortable and very easy flight from Bangkok to Hong Kong in the new Airbus 350-900 of Cathay Pacific. Crew and food has the same high and outstanding standard one gets form Cathay Pacific in older Jets like the 777. In addition the Airbus 350 has more new gadgets then the ""old"" 777 and has WiFi etc. The seats look similar to the one in the Boeing aircraft, but the bed seems less comfortable and more tight then the old ones. Similar experiences with Thai and Qatar Airways where the Dreamliner has more comfort for the passenger then the Airbus 350.",A350,Solo Leisure,Business Class,Bangkok to Hong Kong,8/18/2019,4,5,5,5,5,5,yes,0.9348,Positive,29,1
11561,Cathay Pacific Airways,2,Mark Muller,9th August 2018,Hong Kong to Sydney. The aircraft for this flight was the new ten across seating. I have flown on a number of airlines with 777 with ten across but none were as dire as Cathay Pacific. It was by far the worst seat I have experienced on a long haul flight (even by 777 ten across standards it is tight). The leg room is poor as well and the seat looks really cheap as well. I have to say no low cost carrier treats it's passengers with the contempt Cathay Pacific does. I can't think of any airline out of Sydney who has seats even remotely as cramped.,Boeing 777-300,Solo Leisure,Economy Class,Hong Kong to Sydney,7/18/2019,1,3,4,4,3,1,no,-0.9298,Negative,16,-1
11562,Cathay Pacific Airways,10,H Chan,8th August 2018,"Hong Kong to Adelaide. The flight was on time and smooth. The seat was spacious which I can stretch my leg fully though I am 6 feet tall. Really appreciate the meal service which provides a nice Thai style salad as the appetiser with a Malay curry chicken as main. Dessert was impressive, with cheese cakes and chocolate bars. Amenities Kit was also provided with branded body care products. Only pain point was the lacking of internet connectivity.",A330,Couple Leisure,Business Class,Hong Kong to Adelaide,8/18/2019,5,5,5,4,5,5,yes,0.8399,Positive,29,1
11563,Cathay Pacific Airways,3,C Marler,31st July 2018,"Bangkok to Hong Kong. Its been many years since I flew Cathay Pacific Economy. I was a Diamond member back in the 1980's. The journey was on time. However plane was dirty, food was average to say the least. But my biggest complaint, is no leg room, this plane had previously flown in to Hong Kong from Sydney. As a medical professional the leg room supplied is below safe levels, 2 hours was uncomfortable, 9 hrs and it would have killed me. This is supposed to be a 5 star airline, act like it, 31 or 32 inch pitch is not enough. It truly was cattle class.",Boeing 777-300,Family Leisure,Economy Class,Bangkok to Hong Kong,7/18/2019,1,3,2,3,4,3,no,-0.8404,Negative,16,-1
